office,co2e
Associated Students Concerts & Events,10.575600
Associated Students Concerts & Events,603.840000
Associated Students Concerts & Events,1809.288900
Associated Students Concerts & Events,410.079273
Associated Students Concerts & Events,34.173622
Associated Students Concerts & Events,17.086811
Associated Students Concerts & Events,68.347244
Associated Students Concerts & Events,17.802396
Associated Students Concerts & Events,-410.079273
Associated Students Concerts & Events,-34.173622
Associated Students Concerts & Events,53.341088
Associated Students Concerts & Events,-17.086811
Associated Students Concerts & Events,-68.347244
Associated Students Concerts & Events,0.210900
Associated Students Concerts & Events,1.265400
Associated Students Concerts & Events,0.052170
Associated Students Concerts & Events,0.105450
Associated Students Concerts & Events,-0.105450
Associated Students Concerts & Events,-1.265400
Associated Students Concerts & Events,-0.052170
Associated Students Concerts & Events,68.347244
Associated Students Concerts & Events,17.086811
Associated Students Concerts & Events,-68.347244
Associated Students Concerts & Events,-53.341088
Associated Students Concerts & Events,-17.802396
Associated Students Concerts & Events,34.173622
Associated Students Concerts & Events,-34.173622
Associated Students Concerts & Events,-603.840000
Associated Students Concerts & Events,-1809.288900
Associated Students Concerts & Events,410.079273
Associated Students Concerts & Events,-17.086811
Associated Students Concerts & Events,-410.079273
Associated Students Concerts & Events,-0.210900
Associated Students Concerts & Events,124.740000
Associated Students Concerts & Events,-124.740000
Associated Students Concerts & Events,273.726000
Associated Students Concerts & Events,2.506409
Associated Students Concerts & Events,0.627230
Associated Students Concerts & Events,15.038455
Associated Students Concerts & Events,1.253205
Associated Students Concerts & Events,-2.506409
Associated Students Concerts & Events,-0.627230
Associated Students Concerts & Events,13.007400
Associated Students Concerts & Events,-15.038455
Associated Students Concerts & Events,-1.253205
Associated Students Concerts & Events,406.010400
Associated Students Concerts & Events,10.575600
Associated Students Concerts & Events,-10.575600
Associated Students Concerts & Events,32.440310
Associated Students Concerts & Events,4.765690
Associated Students Concerts & Events,-406.010400
Associated Students Concerts & Events,6.630000
Associated Students Concerts & Events,5.996290
Associated Students Concerts & Events,5.996290
Associated Students Concerts & Events,4208.050000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.007527
Associated Students Concerts & Events,-0.012053
