office,category,co2e,n
Associated Students Concerts & Events,Equipment & Rentals,80320.3,6538
Associated Students Concerts & Events,Events,171705.19,4400
Associated Students Concerts & Events,Food & Catering,16291.675,286
Associated Students Concerts & Events,Goods & Merchandise,17487.719,458
Associated Students Concerts & Events,Other,31291.093,782
Associated Students Concerts & Events,Professional Services,17717.115,2764
Associated Students Concerts & Events,Travel & Transportation,12991.738,584
Associated Students Concerts & Events,Uncategorized,-238.729,38
Associated Students Office of Spirit and Athletics,Equipment & Rentals,3735.542,20
Associated Students Office of Spirit and Athletics,Events,1191.96,23
Associated Students Office of Spirit and Athletics,Food & Catering,8912.097,38
Associated Students Office of Spirit and Athletics,Goods & Merchandise,9937.578,56
Associated Students Office of Spirit and Athletics,Other,852.795,7
Associated Students Office of Spirit and Athletics,Professional Services,357.262,7
Associated Students Office of Spirit and Athletics,Travel & Transportation,779.619,5
Chief Communications and Marketing Affairs,Equipment & Rentals,11309.874,29
Chief Communications and Marketing Affairs,Events,1882.457,14
Chief Communications and Marketing Affairs,Food & Catering,9509.843,21
Chief Communications and Marketing Affairs,Goods & Merchandise,9224.425,20
Chief Communications and Marketing Affairs,Other,470.779,5
Chief Communications and Marketing Affairs,Professional Services,443.876,6
Chief Communications and Marketing Affairs,Travel & Transportation,18.643,1
Chief Financial Officer,Events,8.51,1
Chief Financial Officer,Food & Catering,19.684,2
Chief Financial Officer,Goods & Merchandise,137.863,2
Chief Financial Officer,Professional Services,2.544,1
Chief Personnel Officer,Equipment & Rentals,34.309,3
Chief Personnel Officer,Food & Catering,4535.224,6
Chief Personnel Officer,Goods & Merchandise,1838.445,8
Chief Personnel Officer,Travel & Transportation,284.742,1
College Affairs,Equipment & Rentals,2989.799,27
College Affairs,Events,1532.191,6
College Affairs,Food & Catering,2900.691,10
College Affairs,Goods & Merchandise,1956.819,23
College Affairs,Other,173.238,3
College Affairs,Professional Services,13533.562,11
"Equity, Diversity & Inclusion",Equipment & Rentals,477.726,7
"Equity, Diversity & Inclusion",Events,338.139,5
"Equity, Diversity & Inclusion",Food & Catering,7404.476,25
"Equity, Diversity & Inclusion",Goods & Merchandise,1780.326,39
"Equity, Diversity & Inclusion",Other,109.639,5
"Equity, Diversity & Inclusion",Professional Services,2652.733,11
"Equity, Diversity & Inclusion",Travel & Transportation,639.707,3
Executive Vice President,Equipment & Rentals,78.156,4
Executive Vice President,Events,468.404,22
Executive Vice President,Food & Catering,89.988,4
Executive Vice President,Goods & Merchandise,149.238,24
Executive Vice President,Professional Services,9672.501,46
Enterprises & Services,Equipment & Rentals,187.802,11
Enterprises & Services,Goods & Merchandise,111.453,4
Enterprises & Services,Other,60.466,3
Enterprises & Services,Professional Services,686.155,3
Environmental Justice Affairs,Equipment & Rentals,1.037,1
Environmental Justice Affairs,Events,356.723,5
Environmental Justice Affairs,Goods & Merchandise,443.497,5
Food & Housing,Equipment & Rentals,9491.065,5
Food & Housing,Events,6.158,1
Food & Housing,Food & Catering,678.314,6
Food & Housing,Goods & Merchandise,1707.551,5
Food & Housing,Other,412.84,5
Food & Housing,Professional Services,2494.7,4
Food & Housing,Travel & Transportation,18.643,1
Health & Wellbeing,Equipment & Rentals,2039.657,6
Health & Wellbeing,Events,42.185,1
Health & Wellbeing,Food & Catering,1851.234,3
Health & Wellbeing,Goods & Merchandise,922.12,16
Health & Wellbeing,Other,10.953,2
Health & Wellbeing,Professional Services,49.923,6
Local Affairs,Equipment & Rentals,455.99,22
Local Affairs,Events,677.984,5
Local Affairs,Food & Catering,5873.488,30
Local Affairs,Goods & Merchandise,4518.138,51
Local Affairs,Other,550.237,18
Local Affairs,Professional Services,1393.602,9
Mandate Reserves,Equipment & Rentals,128.392,8
Mandate Reserves,Events,249.135,186
Mandate Reserves,Food & Catering,941.827,6
Mandate Reserves,Goods & Merchandise,21705.876,195
Mandate Reserves,Other,3.959,1
Mandate Reserves,Professional Services,26516.573,10
Mandate Reserves,Travel & Transportation,999.308,35
Mandate Reserves,Uncategorized,7.66,5
Office of the President,Equipment & Rentals,380.533,4
Office of the President,Events,32.48,1
Office of the President,Food & Catering,9322.713,23
Office of the President,Goods & Merchandise,2480.268,21
Office of the President,Other,53.61,4
Office of the President,Professional Services,9243.564,7
Office of the President,Travel & Transportation,720.026,2
Student Sustainability Collective,Equipment & Rentals,48.949,7
Student Sustainability Collective,Events,608.765,20
Student Sustainability Collective,Food & Catering,2738.426,20
Student Sustainability Collective,Goods & Merchandise,5882.742,20
Student Sustainability Collective,Other,168.069,29
Student Sustainability Collective,Professional Services,6399.959,70
Student Sustainability Collective,Travel & Transportation,1022.804,1
Student Advocacy,Events,84.322,1
Student Advocacy,Food & Catering,480.525,4
Student Advocacy,Goods & Merchandise,250.792,5
Student Advocacy,Professional Services,28.421,2
Student Orgs,Equipment & Rentals,16.831,4
Student Orgs,Food & Catering,536.571,2
Triton Television,Equipment & Rentals,7451.094,27
Triton Television,Events,420.145,2
Triton Television,Food & Catering,432.406,10
Triton Television,Goods & Merchandise,6604.254,12
Triton Television,Other,843.938,3
Triton Television,Professional Services,118.887,5
Transportation & Transformation,Equipment & Rentals,55.356,2
Transportation & Transformation,Food & Catering,337.276,3
Transportation & Transformation,Goods & Merchandise,1861.822,8
Transportation & Transformation,Travel & Transportation,103530.0,1
Transportation & Transformation,Uncategorized,8421.91,2
Vice President of External Affairs,Equipment & Rentals,6440.7,18
Vice President of External Affairs,Events,935.969,7
Vice President of External Affairs,Food & Catering,22370.499,112
Vice President of External Affairs,Goods & Merchandise,9189.69,33
Vice President of External Affairs,Other,7402.466,10
Vice President of External Affairs,Professional Services,29477.863,47
Vice President of External Affairs,Travel & Transportation,117135.96,26
Vice President of Academic Affairs,Equipment & Rentals,60.593,1
Vice President of Academic Affairs,Events,360.48,1
Vice President of Academic Affairs,Food & Catering,477.759,6
Vice President of Academic Affairs,Goods & Merchandise,519.092,8
Vice President of Academic Affairs,Professional Services,391.77,3
