office,co2e
ASCE,10.575600
ASCE,603.840000
ASCE,1809.288900
ASCE,410.079273
ASCE,34.173622
ASCE,17.086811
ASCE,68.347244
ASCE,17.802396
ASCE,-410.079273
ASCE,-34.173622
ASCE,53.341088
ASCE,-17.086811
ASCE,-68.347244
ASCE,0.210900
ASCE,1.265400
ASCE,0.052170
ASCE,0.105450
ASCE,-0.105450
ASCE,-1.265400
ASCE,-0.052170
ASCE,68.347244
ASCE,17.086811
ASCE,-68.347244
ASCE,-53.341088
ASCE,-17.802396
ASCE,34.173622
ASCE,-34.173622
ASCE,-603.840000
ASCE,-1809.288900
ASCE,410.079273
ASCE,-17.086811
ASCE,-410.079273
ASCE,-0.210900
ASCE,124.740000
ASCE,-124.740000
ASCE,273.726000
ASCE,2.506409
ASCE,0.627230
ASCE,15.038455
ASCE,1.253205
ASCE,-2.506409
ASCE,-0.627230
ASCE,13.007400
ASCE,-15.038455
ASCE,-1.253205
ASCE,406.010400
ASCE,10.575600
ASCE,-10.575600
ASCE,32.440310
ASCE,4.765690
ASCE,-406.010400
ASCE,6.630000
ASCE,5.996290
ASCE,5.996290
ASCE,4208.050000
ASCE,0.000000
ASCE,0.007527
ASCE,-0.012053
ASCE,9.321266
ASCE,169.488000
ASCE,-0.314869
ASCE,-0.026344
ASCE,-0.020071
ASCE,-0.005018
ASCE,0.100800
ASCE,-0.116665
ASCE,-0.010036
ASCE,-0.015054
ASCE,-0.003763
ASCE,0.077280
ASCE,-0.089067
ASCE,-0.007527
ASCE,0.067741
ASCE,0.006272
ASCE,0.012545
ASCE,0.002509
ASCE,0.075268
ASCE,0.006272
ASCE,0.010036
ASCE,0.002509
ASCE,0.060214
ASCE,0.005018
ASCE,0.012545
ASCE,0.002509
ASCE,-0.006272
ASCE,-0.010036
ASCE,-0.002509
ASCE,0.052080
ASCE,-0.060214
ASCE,-0.005018
ASCE,-0.010036
ASCE,-0.002509
ASCE,0.052080
ASCE,-0.060214
ASCE,-0.005018
ASCE,-0.025089
ASCE,0.075268
ASCE,0.006272
ASCE,0.025089
ASCE,0.006272
ASCE,0.150535
ASCE,0.012545
ASCE,0.012545
ASCE,0.002509
ASCE,0.075268
ASCE,0.006272
ASCE,0.007527
ASCE,0.001254
ASCE,0.130200
ASCE,-0.150535
ASCE,-0.012545
ASCE,-0.023835
ASCE,-0.006272
ASCE,-0.011290
ASCE,-0.143008
ASCE,0.123480
ASCE,-0.017562
ASCE,-0.003763
ASCE,0.090720
ASCE,-0.105375
ASCE,0.045161
ASCE,0.003763
ASCE,0.007527
ASCE,0.001254
ASCE,0.045161
ASCE,0.003763
ASCE,0.069720
ASCE,0.001254
ASCE,0.045161
ASCE,0.003763
ASCE,0.007527
ASCE,0.001254
ASCE,-0.008781
ASCE,-0.035125
ASCE,-0.008781
ASCE,0.182280
ASCE,-0.210749
ASCE,-0.017562
ASCE,-0.055196
ASCE,-0.013799
ASCE,0.286440
ASCE,-0.331177
ASCE,-0.027598
ASCE,-0.020071
ASCE,0.045161
ASCE,0.003763
ASCE,0.052687
ASCE,0.012545
ASCE,0.314869
ASCE,0.026344
ASCE,0.020071
ASCE,0.005018
ASCE,0.116665
ASCE,0.010036
ASCE,0.015054
ASCE,0.003763
ASCE,-0.005018
ASCE,0.103320
ASCE,-0.120428
ASCE,-0.010036
ASCE,-0.011290
ASCE,-0.002509
ASCE,0.057960
ASCE,-0.067741
ASCE,-0.005018
ASCE,-0.025089
ASCE,-0.006272
ASCE,0.130200
ASCE,0.089067
ASCE,0.007527
ASCE,0.010036
ASCE,0.002509
ASCE,0.060214
ASCE,0.005018
